sample	genome	coverage	relative abundance	iRep	un-filtered iRep	raw iRep (no GC bias correction)	r^2	% windows	GC bias	GC r^2	day	treatment	bird	day_num
d78sub196	bin.982	13.328007490727845	0.9797398813913568	1.3921739899367784	1.3921739899367784	1.4188029909956976	0.9883101077009049	100	1.0449335188933706	0.07221190901649621	78	sub	196	78
d78ctrl184	bin.982	6.776091724913751	1.132940884490015	1.7083084694712436	1.7083084694712436	1.7654808196732148	0.9774319561130693	100	1.4734091945877885	0.09929888492806647	78	ctrl	184	78
d78ther206	bin.982	9.985844272059875	0.9305856356112894	1.4385690742800294	1.4385690742800294	1.4416495795719095	0.980460699073359	100	-1.7901052350073425e-4	2.479018642855824e-4	78	ther	206	78
d78ther202	bin.982	11.75804130519185	2.5056800248482842	1.4692814422597624	1.4692814422597624	1.4828185607843483	0.9823684260855028	100	0.07327241117614645	0.01209895935523775	78	ther	202	78
d78ctrl189	bin.982	10.310994070024812	1.376736031485181	1.4570379592313354	1.4570379592313354	1.4933826596819473	0.9867904592903747	100	1.183100848469088	0.0830489321559833	78	ctrl	189	78
d78ctrl183	bin.982	19.258590499872238	1.5600498787660788	1.6396363436716017	1.6396363436716017	1.7377401912663348	0.9635495145974239	100	10.11306590202598	0.18216030655012064	78	ctrl	183	78
d78ctrl187	bin.982	7.406876381974028	1.464754091785834	1.6061110462811103	1.6061110462811103	1.6358266626194287	0.9882956018769647	100	0.5892270312494016	0.058210744544673905	78	ctrl	187	78
d78ctrl181	bin.982	13.787440642176161	0.7260385975228781	1.35177752431673	1.35177752431673	1.3577027265276986	0.9911990357600389	100	0.061343599081424074	0.011475828554804224	78	ctrl	181	78
d78ther209	bin.982	24.439636701911724	3.0740340518190883	1.2958149931957044	1.2958149931957044	1.2975751327627887	0.9810708226096194	100	-0.22943430444503135	0.02046610800056181	78	ther	209	78
d35ctrl094	bin.842	7.069280471764468	1.4367868320434332	1.849146502698461	1.849146502698461	1.8558914394770634	0.9778283743799521	99.38	-0.10648835644939135	0.014577177282048659	35	ctrl	094	35
