#Reads:	7178582
#Bases:	10623825941
#Max:	67547
#Min:	35
#Avg:	1479.9
#Median:	1290
#Mode:	1170
#Std_Dev:	1006.4
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
1950	17947	0.250%	1327369	18.491%	35077385	0.330%	3864601175	36.377%
1960	18027	0.251%	1309422	18.241%	35413751	0.333%	3829523790	36.047%
1970	17753	0.247%	1291395	17.990%	35053409	0.330%	3794110039	35.713%
1980	17582	0.245%	1273642	17.742%	34891453	0.328%	3759056630	35.383%
1990	17410	0.243%	1256060	17.497%	34724148	0.327%	3724165177	35.055%
2000	17306	0.241%	1238650	17.255%	34689880	0.327%	3689441029	34.728%
2010	16745	0.233%	1221344	17.014%	33732746	0.318%	3654751149	34.401%
2020	16477	0.230%	1204599	16.780%	33357572	0.314%	3621018403	34.084%
2030	16078	0.224%	1188122	16.551%	32709894	0.308%	3587660831	33.770%
2040	15535	0.216%	1172044	16.327%	31760897	0.299%	3554950937	33.462%
2050	15020	0.209%	1156509	16.111%	30858374	0.290%	3523190040	33.163%
2060	14738	0.205%	1141489	15.901%	30426339	0.286%	3492331666	32.873%
2070	14501	0.202%	1126751	15.696%	30082219	0.283%	3461905327	32.586%
2080	14068	0.196%	1112250	15.494%	29325010	0.276%	3431823108	32.303%
2090	13895	0.194%	1098182	15.298%	29102782	0.274%	3402498098	32.027%
2100	13610	0.190%	1084287	15.104%	28642493	0.270%	3373395316	31.753%
2110	13195	0.184%	1070677	14.915%	27900304	0.263%	3344752823	31.484%
2120	13190	0.184%	1057482	14.731%	28021392	0.264%	3316852519	31.221%
2130	12665	0.176%	1044292	14.547%	27032780	0.254%	3288831127	30.957%
2140	12451	0.173%	1031627	14.371%	26701082	0.251%	3261798347	30.703%
2150	12099	0.169%	1019176	14.197%	26066689	0.245%	3235097265	30.451%
2160	11946	0.166%	1007077	14.029%	25857031	0.243%	3209030576	30.206%
2170	12032	0.168%	995131	13.863%	26163787	0.246%	3183173545	29.963%
2180	11930	0.166%	983099	13.695%	26060829	0.245%	3157009758	29.716%
2190	11738	0.164%	971169	13.529%	25759026	0.242%	3130948929	29.471%
2200	11564	0.161%	959431	13.365%	25492745	0.240%	3105189903	29.229%
2210	11423	0.159%	947867	13.204%	25296255	0.238%	3079697158	28.989%
2220	11429	0.159%	936444	13.045%	25423827	0.239%	3054400903	28.750%
2230	10903	0.152%	925015	12.886%	24362606	0.229%	3028977076	28.511%
2240	10889	0.152%	914112	12.734%	24440199	0.230%	3004614470	28.282%
2250	10622	0.148%	903223	12.582%	23947428	0.225%	2980174271	28.052%
2260	10628	0.148%	892601	12.434%	24067453	0.227%	2956226843	27.826%
2270	10320	0.144%	881973	12.286%	23472831	0.221%	2932159390	27.600%
2280	10506	0.146%	871653	12.142%	24000667	0.226%	2908686559	27.379%
2290	10150	0.141%	861147	11.996%	23289040	0.219%	2884685892	27.153%
2300	10048	0.140%	850997	11.855%	23155080	0.218%	2861396852	26.934%
2310	9859	0.137%	840949	11.715%	22818604	0.215%	2838241772	26.716%
2320	9709	0.135%	831090	11.577%	22568389	0.212%	2815423168	26.501%
2330	9593	0.134%	821381	11.442%	22394877	0.211%	2792854779	26.289%
2340	9470	0.132%	811788	11.308%	22202129	0.209%	2770459902	26.078%
2350	9347	0.130%	802318	11.177%	22007810	0.207%	2748257773	25.869%
2360	9451	0.132%	792971	11.046%	22346633	0.210%	2726249963	25.662%
2370	9201	0.128%	783520	10.915%	21847785	0.206%	2703903330	25.451%
2380	8935	0.124%	774319	10.787%	21305310	0.201%	2682055545	25.246%
2390	8853	0.123%	765384	10.662%	21198806	0.200%	2660750235	25.045%
2400	8778	0.122%	756531	10.539%	21106691	0.199%	2639551429	24.846%
2410	8594	0.120%	747753	10.416%	20750454	0.195%	2618444738	24.647%
2420	8559	0.119%	739159	10.297%	20750691	0.195%	2597694284	24.452%
2430	8270	0.115%	730600	10.177%	20133130	0.190%	2576943593	24.256%
2440	8229	0.115%	722330	10.062%	20115542	0.189%	2556810463	24.067%
2450	8292	0.116%	714101	9.948%	20352718	0.192%	2536694921	23.877%
2460	8092	0.113%	705809	9.832%	19942581	0.188%	2516342203	23.686%
2470	8047	0.112%	697717	9.719%	19911996	0.187%	2496399622	23.498%
2480	7776	0.108%	689670	9.607%	19319362	0.182%	2476487626	23.311%
2490	7725	0.108%	681894	9.499%	19269953	0.181%	2457168264	23.129%
2500	7632	0.106%	674169	9.391%	19114170	0.180%	2437898311	22.947%
2510	7574	0.106%	666537	9.285%	19044795	0.179%	2418784141	22.768%
2520	7366	0.103%	658963	9.180%	18595484	0.175%	2399739346	22.588%
2530	7375	0.103%	651597	9.077%	18691703	0.176%	2381143862	22.413%
2540	7275	0.101%	644222	8.974%	18511549	0.174%	2362452159	22.237%
2550	7253	0.101%	636947	8.873%	18527887	0.174%	2343940610	22.063%
2560	7111	0.099%	629694	8.772%	18236180	0.172%	2325412723	21.889%
2570	7017	0.098%	622583	8.673%	18065331	0.170%	2307176543	21.717%
2580	6955	0.097%	615566	8.575%	17975057	0.169%	2289111212	21.547%
2590	6905	0.096%	608611	8.478%	17915088	0.169%	2271136155	21.378%
2600	6752	0.094%	601706	8.382%	17585887	0.166%	2253221067	21.209%
2610	6608	0.092%	594954	8.288%	17276282	0.163%	2235635180	21.044%
2620	6555	0.091%	588346	8.196%	17203420	0.162%	2218358898	20.881%
2630	6473	0.090%	581791	8.105%	17052765	0.161%	2201155478	20.719%
2640	6390	0.089%	575318	8.014%	16898601	0.159%	2184102713	20.559%
2650	6300	0.088%	568928	7.925%	16723269	0.157%	2167204112	20.399%
2660	6364	0.089%	562628	7.838%	16956694	0.160%	2150480843	20.242%
2670	6119	0.085%	556264	7.749%	16364984	0.154%	2133524149	20.082%
2680	5965	0.083%	550145	7.664%	16013137	0.151%	2117159165	19.928%
2690	5894	0.082%	544180	7.581%	15881373	0.149%	2101146028	19.778%
